Addresses,Price,Price Type,Rent Estimate,Property Type,Number of Bedrooms,Number of Bathrooms,Square Feet,YTD,Address Link
"Red Fox Run, Tallahassee, FL 32303","$263,453",Estimated Market Value,$1408/m,Single-Family,3,2,1900, 136%,https://www.foreclosure.com/address/Red-Fox-Run-Tallahassee-FL-32303/60760173_lid
"W Pensacola St Apt 114, Tallahassee, FL 32304","$71,379",Estimated Market Value,$670/m,N/A,N/A,N/A,N/A, 120%,https://www.foreclosure.com/address/W-Pensacola-St-Apt-114-Tallahassee-FL-32304/60760176_lid
"E Johns St St, Palatka, FL 32177",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.foreclosure.com/address/E-Johns-St-St-Palatka-FL-32177/60760174_lid
"Redwing Rd, Tavernier, FL 33070","$3,649,407",Estimated Market Value,$3360/m,Single-Family,2,2,4708, 126%,https://www.foreclosure.com/address/Redwing-Rd-Tavernier-FL-33070/60761590_lid
"Hideaway Ct, Tallahassee, FL 32303","$170,323",Estimated Market Value,$1121/m,Single-Family,3,1.5,1107, 126%,https://www.foreclosure.com/address/Hideaway-Ct-Tallahassee-FL-32303/60760179_lid
"Mount Pleasant Ave, Grant, FL 32949","$653,000",List Price,$1720/m,Single-Family,4,3,2736, 104%,https://www.foreclosure.com/address/Mount-Pleasant-Ave-Grant-FL-32949/60758425_lid
"Oak St, Fruitland Park, FL 34731","$25,000",List Price,N/A,Land,N/A,2,1440, 101%,https://www.foreclosure.com/address/Oak-St-Fruitland-Park-FL-34731/60759345_lid
"Se 1st Ave, Cape Coral, FL 33904","$740,000",List Price,$2030/m,Single-Family,3,2,1707, 95%,https://www.foreclosure.com/address/Se-1st-Ave-Cape-Coral-FL-33904/60760235_lid
"Golf Aire Blvd, Haines City, FL 33844","$276,948",Estimated Market Value,$1092/m,N/A,N/A,N/A,N/A, 94%,https://www.foreclosure.com/address/Golf-Aire-Blvd-Haines-City-FL-33844/60754130_lid
"Forest Ave, Daytona Beach, FL 32117","$256,855",Estimated Market Value,$1241/m,Single-Family,3,4.5,1775, 105%,https://www.foreclosure.com/address/Forest-Ave-Daytona-Beach-FL-32117/60754135_lid
"Ne 28th St, Cape Coral, FL 33909","$302,918",Estimated Market Value,$1311/m,Single-Family,3,2,1495, 101%,https://www.foreclosure.com/address/Ne-28th-St-Cape-Coral-FL-33909/60754142_lid
"Woodside St, Jacksonville, FL 32209","$75,904",Estimated Market Value,$770/m,Single-Family,2,1,1038, 93%,https://www.foreclosure.com/address/Woodside-St-Jacksonville-FL-32209/60754148_lid
"Wilson Dr, Holiday, FL 34691","$243,540",Estimated Market Value,$1080/m,Single-Family,2,1,1482, 114%,https://www.foreclosure.com/address/Wilson-Dr-Holiday-FL-34691/60757647_lid
"Silver Bluff Blvd Apt 301, Orange Park, FL 32065","$255,093",Estimated Market Value,$1211/m,Condo,3,2,1760, 103%,https://www.foreclosure.com/address/Silver-Bluff-Blvd-Apt-301-Orange-Park-FL-32065/60757697_lid
"Shaw St, Sanderson, FL 32087","$158,744",Estimated Market Value,$1100/m,Single-Family,N/A,N/A,N/A, 96%,https://www.foreclosure.com/address/Shaw-St-Sanderson-FL-32087/60757715_lid
"19th Ave Sw, Naples, FL 34116","$403,956",Estimated Market Value,$1920/m,Single-Family,N/A,N/A,1008, 100%,https://www.foreclosure.com/address/19th-Ave-Sw-Naples-FL-34116/60757723_lid
"Cascada Cir, Hollywood, FL 33024","$505,190",Estimated Market Value,$2340/m,Townhome,N/A,N/A,2158, 112%,https://www.foreclosure.com/address/Cascada-Cir-Hollywood-FL-33024/60757730_lid
"Port St, Hollywood, FL 33026","$832,999",Estimated Market Value,$2950/m,Single-Family,N/A,N/A,4025, 110%,https://www.foreclosure.com/address/Port-St-Hollywood-FL-33026/60757725_lid
"Pleasant Rd, Jacksonville, FL 32234","$162,350",Estimated Market Value,$930/m,Mobile,N/A,N/A,N/A, 100%,https://www.foreclosure.com/address/Pleasant-Rd-Jacksonville-FL-32234/60757736_lid
"Furlong Way, Gotha, FL 34734","$445,005",Estimated Market Value,$2230/m,Single-Family,3,3,2981, 106%,https://www.foreclosure.com/address/Furlong-Way-Gotha-FL-34734/60754691_lid
"Commonwealth Ave, Jacksonville, FL 32254","$208,900",List Price,$1072/m,Single-Family,3,2,1148, 103%,https://www.foreclosure.com/address/Commonwealth-Ave-Jacksonville-FL-32254/60750704_lid
"Highland Ct, Lake Mary, FL 32746","$325,000",List Price,$1430/m,Single-Family,3,2,1670, 103%,https://www.foreclosure.com/address/Highland-Ct-Lake-Mary-FL-32746/60746467_lid
"Ct, Summerfield, FL 34491","$194,500",List Price,N/A,Single-Family,2,2,N/A,N/A,https://www.foreclosure.com/address/Ct-Summerfield-FL-34491/60747223_lid
"E 40th Plz, Panama City, FL 32405","$446,102",Estimated Market Value,$2010/m,Single-Family,4,4,2123, 121%,https://www.foreclosure.com/address/E-40th-Plz-Panama-City-FL-32405/60747222_lid
"Calypso Dr, Orlando, FL 32809","$324,918",Estimated Market Value,$1301/m,Single-Family,3,2,1312, 115%,https://www.foreclosure.com/address/Calypso-Dr-Orlando-FL-32809/60742887_lid
"Kensington Dr, Cocoa, FL 32922","$188,352",Estimated Market Value,$870/m,Single-Family,3,2,1092, 106%,https://www.foreclosure.com/address/Kensington-Dr-Cocoa-FL-32922/60744127_lid
"Gator Run, Defuniak Springs, FL 32433","$92,565",Estimated Market Value,N/A,Mobile,2,1,1120, 105%,https://www.foreclosure.com/address/Gator-Run-Defuniak-Springs-FL-32433/60744216_lid
"4th St, Orlando, FL 32824","$280,000",List Price,$1480/m,Single-Family,2,2,1215, 133%,https://www.foreclosure.com/address/4th-St-Orlando-FL-32824/60740708_lid
"Sw 75th St, Gainesville, FL 32607","$120,000",List Price,N/A,Condo,2,2,1000,N/A,https://www.foreclosure.com/address/Sw-75th-St-Gainesville-FL-32607/60742939_lid
"Overbrook 103, Jacksonville, FL 32225",N/A,N/A,N/A,Condo,2,3,1428,N/A,https://www.foreclosure.com/address/Overbrook-103-Jacksonville-FL-32225/60737251_lid
"Nw 19th Ave, Miami, FL 33167","$433,825",Estimated Market Value,$1650/m,Single-Family,3,1,1350, 156%,https://www.foreclosure.com/address/Nw-19th-Ave-Miami-FL-33167/60737253_lid
"Ardisia Rd N, Jacksonville, FL 32209","$171,380",Estimated Market Value,$1110/m,Single-Family,3,2,2078, 101%,https://www.foreclosure.com/address/Ardisia-Rd-N-Jacksonville-FL-32209/60737267_lid
"Sw 735th St, Steinhatchee, FL 32359","$468,184",Estimated Market Value,$1680/m,Single-Family,N/A,N/A,N/A, 108%,https://www.foreclosure.com/address/Sw-735th-St-Steinhatchee-FL-32359/60738531_lid
"53rd Rd N, West Palm Beach, FL 33411",N/A,N/A,N/A,Single-Family,N/A,2,1744,N/A,https://www.foreclosure.com/address/53rd-Rd-N-West-Palm-Beach-FL-33411/60738545_lid
"Bay Laurel Cir N, Kissimmee, FL 34744","$369,900",List Price,$1400/m,Single-Family,4,2,1722, 107%,https://www.foreclosure.com/address/Bay-Laurel-Cir-N-Kissimmee-FL-34744/60736080_lid
"Braemere Dr, Spring Hill, FL 34609","$344,500",List Price,$1291/m,Townhome,4,3,2355, 92%,https://www.foreclosure.com/address/Braemere-Dr-Spring-Hill-FL-34609/60735222_lid
"Se 6th Ct, Pompano Beach, FL 33060","$877,170",Estimated Market Value,$2660/m,Single-Family,3,2,1724, 109%,https://www.foreclosure.com/address/Se-6th-Ct-Pompano-Beach-FL-33060/60737303_lid
"High Bridge Rd, Quincy, FL 32351","$101,150",Estimated Market Value,N/A,Single-Family,3,2,1620, 97%,https://www.foreclosure.com/address/High-Bridge-Rd-Quincy-FL-32351/60737305_lid
"Taylor St # 7, Hollywood, FL 33020","$155,000",List Price,N/A,Condo,1,1,590,N/A,https://www.foreclosure.com/address/Taylor-St--7-Hollywood-FL-33020/60737319_lid
"Hickory Gate Dr W, Dunedin, FL 34698","$1,071,237",Estimated Market Value,$2430/m,Single-Family,N/A,3.5,3348, 104%,https://www.foreclosure.com/address/Hickory-Gate-Dr-W-Dunedin-FL-34698/60732048_lid
"Fargo Ave, Deltona, FL 32738","$345,028",Estimated Market Value,$1770/m,Single-Family,3,2.5,1587, 103%,https://www.foreclosure.com/address/Fargo-Ave-Deltona-FL-32738/60733397_lid
"N Banana River Blvd, Cocoa Beach, FL 32931","$687,852",Estimated Market Value,$1860/m,Single-Family,4,2,1784, 98%,https://www.foreclosure.com/address/N-Banana-River-Blvd-Cocoa-Beach-FL-32931/60733400_lid
"Ne Surrey St, Port Saint Lucie, FL 34983","$150,946",Estimated Market Value,$1110/m,Single-Family,2,2,894, 101%,https://www.foreclosure.com/address/Ne-Surrey-St-Port-Saint-Lucie-FL-34983/60733403_lid
"37th Ter E, Bradenton, FL 34208","$516,285",Estimated Market Value,$1700/m,Single-Family,5,2,1973, 115%,https://www.foreclosure.com/address/37th-Ter-E-Bradenton-FL-34208/60730854_lid
"Cedar Park Ln, Jacksonville, FL 32210","$245,900",List Price,$1181/m,Single-Family,3,2,1305, 115%,https://www.foreclosure.com/address/Cedar-Park-Ln-Jacksonville-FL-32210/60732059_lid
"Nw 121st Ln, Coral Springs, FL 33071","$1,118,502",Estimated Market Value,$2950/m,Single-Family,N/A,N/A,4418, 111%,https://www.foreclosure.com/address/Nw-121st-Ln-Coral-Springs-FL-33071/60728292_lid
"Sw 23rd St, Miramar, FL 33027","$698,544",Estimated Market Value,$2530/m,Single-Family,N/A,N/A,2887, 113%,https://www.foreclosure.com/address/Sw-23rd-St-Miramar-FL-33027/60728317_lid
"Se 34th Pl, Ocala, FL 34471","$284,200",Estimated Market Value,$1271/m,Single-Family,3,2,1444, 121%,https://www.foreclosure.com/address/Se-34th-Pl-Ocala-FL-34471/60728375_lid
"Auburn St S, Saint Petersburg, FL 33712","$167,900",List Price,$980/m,Single-Family,2,1,969, 112%,https://www.foreclosure.com/address/Auburn-St-S-Saint-Petersburg-FL-33712/60726655_lid
"N 31st St, Tampa, FL 33605","$67,716",Estimated Market Value,$790/m,Single-Family,2,1,902, 99%,https://www.foreclosure.com/address/N-31st-St-Tampa-FL-33605/60726784_lid
"Nw 17th St, Plantation, FL 33313",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.foreclosure.com/address/Nw-17th-St-Plantation-FL-33313/60722501_lid
"Ne 24th Ter Apt B110, Fort Lauderdale, FL 33308","$194,733",Estimated Market Value,$1251/m,N/A,N/A,N/A,N/A, 106%,https://www.foreclosure.com/address/Ne-24th-Ter-Apt-B110-Fort-Lauderdale-FL-33308/60722503_lid
"34th Ave E, Bradenton, FL 34208","$373,248",Estimated Market Value,$1480/m,N/A,N/A,N/A,N/A, 133%,https://www.foreclosure.com/address/34th-Ave-E-Bradenton-FL-34208/60722506_lid
"Nw 129th Way, Sunrise, FL 33323","$630,335",Estimated Market Value,$2600/m,Single-Family,N/A,N/A,2692, 113%,https://www.foreclosure.com/address/Nw-129th-Way-Sunrise-FL-33323/60722507_lid
"Ramblewood Dr, Coral Springs, FL 33071","$632,828",Estimated Market Value,$2590/m,Single-Family,N/A,N/A,2028, 99%,https://www.foreclosure.com/address/Ramblewood-Dr-Coral-Springs-FL-33071/60722504_lid
"Se 3rd Ave Apt 206a, Hallandale Beach, FL 33009","$194,931",Estimated Market Value,$1100/m,Condo,1,1,755, 121%,https://www.foreclosure.com/address/Se-3rd-Ave-Apt-206a-Hallandale-Beach-FL-33009/60722508_lid
"Weldon Cir, Tamarac, FL 33321",N/A,N/A,N/A,Condo,2,2,1215,N/A,https://www.foreclosure.com/address/Weldon-Cir-Tamarac-FL-33321/60722505_lid
"Mimosa Ave, Homeland, FL 33847","$123,970",Estimated Market Value,$970/m,N/A,N/A,N/A,N/A, 112%,https://www.foreclosure.com/address/Mimosa-Ave-Homeland-FL-33847/60722512_lid
"Cornwall Cir, Pensacola, FL 32514","$157,410",Estimated Market Value,$940/m,Single-Family,N/A,2,1000, 121%,https://www.foreclosure.com/address/Cornwall-Cir-Pensacola-FL-32514/60722513_lid
"Shawnee St, Sarasota, FL 34231","$357,542",Estimated Market Value,$1520/m,Single-Family,3,2,1101, 113%,https://www.foreclosure.com/address/Shawnee-St-Sarasota-FL-34231/60722514_lid
"Sw 53rd St, Hollywood, FL 33027",N/A,N/A,N/A,Single-Family,3,2,3451,N/A,https://www.foreclosure.com/address/Sw-53rd-St-Hollywood-FL-33027/60722516_lid
"3rd St, Quincy, FL 32351","$115,045",Estimated Market Value,$870/m,Single-Family,3,1,1008, 128%,https://www.foreclosure.com/address/3rd-St-Quincy-FL-32351/60724431_lid
"Tam O Shanter Ave, Sun City Center, FL 33573","$296,547",Estimated Market Value,$1311/m,Single-Family,3,2,1603, 105%,https://www.foreclosure.com/address/Tam-O-Shanter-Ave-Sun-City-Center-FL-33573/60724454_lid
"6th St Se, Winter Haven, FL 33880","$371,419",Estimated Market Value,$1410/m,Single-Family,N/A,2,2490, 95%,https://www.foreclosure.com/address/6th-St-Se-Winter-Haven-FL-33880/60724474_lid
"Ne 33rd Ln, Cape Coral, FL 33909","$479,180",Estimated Market Value,$1690/m,Single-Family,3,2,2056, 102%,https://www.foreclosure.com/address/Ne-33rd-Ln-Cape-Coral-FL-33909/60724426_lid
"Sw 38th Street Rd, Ocala, FL 34481","$221,257",Estimated Market Value,$1092/m,Single-Family,3,2,1362, 100%,https://www.foreclosure.com/address/Sw-38th-Street-Rd-Ocala-FL-34481/60722515_lid
"Riverside Dr Unit 1101, Holly Hill, FL 32117","$550,000",List Price,N/A,N/A,3,3,N/A,N/A,https://www.foreclosure.com/address/Riverside-Dr-Unit-1101-Holly-Hill-FL-32117/60720557_lid
"Sharmon St, Pensacola, FL 32534","$267,147",Estimated Market Value,$1291/m,N/A,4,2,N/A, 92%,https://www.foreclosure.com/address/Sharmon-St-Pensacola-FL-32534/60718047_lid
"El Dorado Ave Se, Palm Bay, FL 32909","$59,900",List Price,$1211/m,Land,3,2,1144, 104%,https://www.foreclosure.com/address/El-Dorado-Ave-Se-Palm-Bay-FL-32909/60715490_lid
"Manitoba Dr, Lakeland, FL 33805",N/A,N/A,N/A,N/A,3,2,1515,N/A,https://www.foreclosure.com/address/Manitoba-Dr-Lakeland-FL-33805/60715503_lid
"Talquin Springs Dr, Tallahassee, FL 32310","$82,790",Estimated Market Value,N/A,Single-Family,3,2.5,1537, 103%,https://www.foreclosure.com/address/Talquin-Springs-Dr-Tallahassee-FL-32310/60714348_lid
"Mohawk Pkwy, Cape Coral, FL 33914","$351,231",Estimated Market Value,$1570/m,Single-Family,3,2,1226, 97%,https://www.foreclosure.com/address/Mohawk-Pkwy-Cape-Coral-FL-33914/60710872_lid
"10th Ct, Lehigh Acres, FL 33936","$386,793",Estimated Market Value,$1550/m,Single-Family,3,2,2618, 109%,https://www.foreclosure.com/address/10th-Ct-Lehigh-Acres-FL-33936/60710880_lid
"Se 15th St, Cape Coral, FL 33990","$429,613",Estimated Market Value,$1660/m,Single-Family,3,2,1716, 95%,https://www.foreclosure.com/address/Se-15th-St-Cape-Coral-FL-33990/60710882_lid
"Se 22nd St, Cape Coral, FL 33990","$350,546",Estimated Market Value,$1410/m,Single-Family,3,2,1364, 96%,https://www.foreclosure.com/address/Se-22nd-St-Cape-Coral-FL-33990/60710873_lid
"N Hercules Ave Apt 1206, Clearwater, FL 33765","$213,012",Estimated Market Value,$980/m,Condo,N/A,N/A,945, 114%,https://www.foreclosure.com/address/N-Hercules-Ave-Apt-1206-Clearwater-FL-33765/60712183_lid
"George Calvin Bess Jr Way, Tallahassee, FL 32310",N/A,N/A,N/A,Single-Family,N/A,N/A,N/A,N/A,https://www.foreclosure.com/address/George-Calvin-Bess-Jr-Way-Tallahassee-FL-32310/60712243_lid
"Jupiter Blvd Nw, Palm Bay, FL 32907","$340,000",List Price,$1261/m,Single-Family,3,2,1569, 103%,https://www.foreclosure.com/address/Jupiter-Blvd-Nw-Palm-Bay-FL-32907/60710936_lid
"Woodgate Blvd Apt 201, Orlando, FL 32822","$183,843",Estimated Market Value,$950/m,Condo,2,2,N/A, 111%,https://www.foreclosure.com/address/Woodgate-Blvd-Apt-201-Orlando-FL-32822/60704914_lid
"N 11th St, Tampa, FL 33604","$365,805",Estimated Market Value,$1191/m,Single-Family,2,1,1070, 97%,https://www.foreclosure.com/address/N-11th-St-Tampa-FL-33604/60704915_lid
"Nw Lombardy Dr, Port Saint Lucie, FL 34986","$281,456",Estimated Market Value,$1171/m,Single-Family,2,2,1233, 104%,https://www.foreclosure.com/address/Nw-Lombardy-Dr-Port-Saint-Lucie-FL-34986/60706867_lid
"S 23rd St, Fort Pierce, FL 34982","$175,909",Estimated Market Value,$1020/m,Single-Family,2,1,900, 114%,https://www.foreclosure.com/address/S-23rd-St-Fort-Pierce-FL-34982/60706992_lid
"Darlington Rd, Holiday, FL 34691","$315,000",List Price,$1110/m,Single-Family,2,2,1368, 111%,https://www.foreclosure.com/address/Darlington-Rd-Holiday-FL-34691/60705024_lid
"Ne 127th St Apt 203, North Miami, FL 33161","$145,000",List Price,$1080/m,Condo,1,1,668, 124%,https://www.foreclosure.com/address/Ne-127th-St-Apt-203-North-Miami-FL-33161/60705022_lid
"Chapelwood Dr, Crestview, FL 32539",N/A,N/A,N/A,Single-Family,5,3,2447,N/A,https://www.foreclosure.com/address/Chapelwood-Dr-Crestview-FL-32539/60702724_lid
"Kirkpatrick Cir Unit 14, Jacksonville, FL 32210","$161,602",Estimated Market Value,$890/m,Condo,2,2,1118, 130%,https://www.foreclosure.com/address/Kirkpatrick-Cir-Unit-14-Jacksonville-FL-32210/60699924_lid
"Woodsage Ct, Jacksonville, FL 32225","$575,091",Estimated Market Value,$2060/m,Single-Family,5,3,2846, 100%,https://www.foreclosure.com/address/Woodsage-Ct-Jacksonville-FL-32225/60699927_lid
"Britton St, Babson Park, FL 33827","$241,205",Estimated Market Value,$950/m,Single-Family,N/A,1,1607, 95%,https://www.foreclosure.com/address/Britton-St-Babson-Park-FL-33827/60699931_lid
"Wedmore Rd, Jacksonville, FL 32258","$469,458",Estimated Market Value,$2320/m,Single-Family,5,3.5,3264, 104%,https://www.foreclosure.com/address/Wedmore-Rd-Jacksonville-FL-32258/60699934_lid
"Foxlake Dr Apt D, North Fort Myers, FL 33917","$182,378",Estimated Market Value,$1121/m,Condo,N/A,N/A,N/A, 114%,https://www.foreclosure.com/address/Foxlake-Dr-Apt-D-North-Fort-Myers-FL-33917/60701132_lid
"Collins Dr, Milton, FL 32570","$119,795",Estimated Market Value,$850/m,Single-Family,1,1,1264, 95%,https://www.foreclosure.com/address/Collins-Dr-Milton-FL-32570/60701134_lid
"Se 1st Avenue Rd, Summerfield, FL 34491","$250,752",Estimated Market Value,$1191/m,Single-Family,3,2,1815, 103%,https://www.foreclosure.com/address/Se-1st-Avenue-Rd-Summerfield-FL-34491/60701137_lid
"Se 105th Ter, Summerfield, FL 34491","$217,701",Estimated Market Value,$1220/m,Single-Family,2,2,1248, 96%,https://www.foreclosure.com/address/Se-105th-Ter-Summerfield-FL-34491/60701073_lid
"W 9th St, Panama City, FL 32401","$288,705",Estimated Market Value,$1230/m,Single-Family,3,2,1300, 127%,https://www.foreclosure.com/address/W-9th-St-Panama-City-FL-32401/60694112_lid
"Se 47th St, Gainesville, FL 32641","$172,992",Estimated Market Value,$1141/m,Single-Family,3,1,1168, 137%,https://www.foreclosure.com/address/Se-47th-St-Gainesville-FL-32641/60694116_lid
"Lake Palm Dr, Tallahassee, FL 32310","$63,072",Estimated Market Value,$820/m,Single-Family,2,1,640, 122%,https://www.foreclosure.com/address/Lake-Palm-Dr-Tallahassee-FL-32310/60694117_lid
"Front Beach R A, Panama City Beach, FL 32413",N/A,N/A,N/A,Condo,1,2,663,N/A,https://www.foreclosure.com/address/Front-Beach-R-A-Panama-City-Beach-FL-32413/60694110_lid
"Thomas Ln, Hampton, FL 32044","$161,925",Estimated Market Value,$1102/m,Mobile,3,2,2280, 101%,https://www.foreclosure.com/address/Thomas-Ln-Hampton-FL-32044/60696264_lid
"Nw 58th Ter Apt 111, Sunrise, FL 33313","$129,311",Estimated Market Value,$980/m,Condo,2,2,1030, 112%,https://www.foreclosure.com/address/Nw-58th-Ter-Apt-111-Sunrise-FL-33313/60696268_lid
"Lake Emerald Dr Apt 302, Oakland Park, FL 33309","$237,303",Estimated Market Value,$1388/m,Condo,2,2,920, 125%,https://www.foreclosure.com/address/Lake-Emerald-Dr-Apt-302-Oakland-Park-FL-33309/60696267_lid
"State Correctional Rd, Marianna, FL 32448","$235,960",Estimated Market Value,$1100/m,Single-Family,5,3,1061, 91%,https://www.foreclosure.com/address/State-Correctional-Rd-Marianna-FL-32448/60696350_lid
"Adams View Ln, Auburndale, FL 33823",N/A,N/A,N/A,Land,N/A,N/A,N/A,N/A,https://www.foreclosure.com/address/Adams-View-Ln-Auburndale-FL-33823/60696357_lid
"Patriot Ridge Dr, Jacksonville, FL 32221",N/A,N/A,N/A,Single-Family,N/A,N/A,N/A,N/A,https://www.foreclosure.com/address/Patriot-Ridge-Dr-Jacksonville-FL-32221/60696355_lid
"Leto Dr, Tampa, FL 33619","$114,200",List Price,$1121/m,Mobile,3,2,1056, 108%,https://www.foreclosure.com/address/Leto-Dr-Tampa-FL-33619/60692388_lid
"Nw 31st Ave, Miami Gardens, FL 33056","$410,000",List Price,$1620/m,Single-Family,4,2,1233, 114%,https://www.foreclosure.com/address/Nw-31st-Ave-Miami-Gardens-FL-33056/60694361_lid
"Springdale Blvd Apt R208, Palm Springs, FL 33461","$175,000",List Price,N/A,Condo,2,1,865,N/A,https://www.foreclosure.com/address/Springdale-Blvd-Apt-R208-Palm-Springs-FL-33461/60694365_lid
"Se Mizner Blvd Apt Ph45, Boca Raton, FL 33432",N/A,N/A,N/A,Condo,3,3,2645,N/A,https://www.foreclosure.com/address/Se-Mizner-Blvd-Apt-Ph45-Boca-Raton-FL-33432/60692107_lid
"Dinner Lake Loop, Lake Wales, FL 33859","$310,366",Estimated Market Value,$1141/m,Single-Family,3,2,1599, 110%,https://www.foreclosure.com/address/Dinner-Lake-Loop-Lake-Wales-FL-33859/60692132_lid
"Alpine Rd Apt 15, Clearwater, FL 33755","$76,176",Estimated Market Value,$650/m,Condo,N/A,N/A,788, 104%,https://www.foreclosure.com/address/Alpine-Rd-Apt-15-Clearwater-FL-33755/60689661_lid
"Journeys End Dr, Odessa, FL 33556","$3,393,886",Estimated Market Value,$11544/m,Single-Family,4,4,6037, 120%,https://www.foreclosure.com/address/Journeys-End-Dr-Odessa-FL-33556/60689665_lid
"Luke St, Christmas, FL 32709","$178,160",Estimated Market Value,$1380/m,Single-Family,3,2,1566, 102%,https://www.foreclosure.com/address/Luke-St-Christmas-FL-32709/60689666_lid
"Lost Creek Dr, Cantonment, FL 32533","$406,791",Estimated Market Value,$1520/m,N/A,N/A,N/A,N/A, 101%,https://www.foreclosure.com/address/Lost-Creek-Dr-Cantonment-FL-32533/60689668_lid
